station_name,station_geo,capacity,total_activity,count
Eugène Oudiné - Dessous Des Berges,"48.82564,2.37502",44,7733.0,7866
Auguste Cain - Jean Moulin,"48.82577,2.32104",40,5227.0,7866
Pierre Grenier - Pont de Billancourt,"48.82580,2.24880",21,5911.0,7866
Choisy - Tolbiac,"48.82591,2.36024",26,9631.0,7866
Boussingault - Tolbiac,"48.82604,2.34218",28,12303.0,7866
Wurtz - Tolbiac,"48.82631,2.34459",28,10157.0,7866
Colonel Monteil - Brune,"48.82650,2.30927",19,5055.0,7866
Didot - Mariniers,"48.82651,2.31314",35,8533.0,7866
Place des Marseillais,"48.82664,2.40593",37,8412.0,7866
Sibelle - Alésia,"48.82670,2.33850",25,7037.0,7866
Olympiades,"48.82676,2.36509",36,13852.0,7866
Kléber - Gouverneur Général Eboué,"48.82689,2.27234",24,4982.0,7866
Esplanade du Foncet - Camille Desmoulins,"48.82709,2.26069",28,3817.0,7866
Cours de l'Ile Seguin - Parc Billancourt,"48.82714,2.23423",29,5169.0,7866
Parvis Corentin Celton,"48.82747,2.27843",55,10832.0,7866
Place des Droits de l'Enfant,"48.82748,2.33192",24,11467.0,7866
Nationale - Place Jules Guesde,"48.82754,2.24161",23,8238.0,7866
Butte aux Cailles - Esperance,"48.82759,2.34922",36,7040.0,7866
Jean Moulin - Place Victor et Hélène Basch,"48.82765,2.32620",41,12363.0,7866
Abbé Carton - Plantes,"48.82767,2.32092",25,5568.0,7866
Lac Daumesnil - Saint-Maurice,"48.82775,2.41837",50,6305.0,7866
Jean Colly - Tolbiac,"48.82782,2.37055",36,10735.0,7866
Porte de Vanves,"48.82801,2.30569",32,9961.0,7866
Porte de la Plaine,"48.82805,2.29243",35,3751.0,7866
Parc de Choisy,"48.82816,2.35851",25,9010.0,7866
Quai Panhard et Levassor,"48.82837,2.38427",57,8934.0,7866
M.- A. Lagroua Weill-Hallé -  F. Dolto,"48.82860,2.38022",60,12559.0,7866
Bobillot - Moulin des Prés,"48.82866,2.35302",28,9320.0,7866
Point du Jour - Jean Jaurès,"48.82875,2.24591",26,8184.0,7866
Bézout - Général Leclerc,"48.82885,2.32860",30,9627.0,7866
Leredde - Tolbiac,"48.82888,2.37444",44,8963.0,7866
Jonquoy - Didot,"48.82890,2.31648",31,6584.0,7866
Brancion - Lefebvre,"48.82900,2.30143",11,7207.0,7866
Stade Pershing,"48.82911,2.45835",26,1907.0,7866
Chevaleret - Tolbiac,"48.82941,2.37593",21,9496.0,7866
Glacière - Soeur Catherine Marie,"48.82952,2.34357",40,6990.0,7866
Jacquier - Didot,"48.82953,2.31818",30,7174.0,7866
Place Nationale - Château-des-Rentiers,"48.82957,2.36505",18,6918.0,7866
Place Jeanne d'Arc,"48.82957,2.36913",36,8921.0,7866
Place Lafayette,"48.82965,2.26387",62,10321.0,7866
Colonel Pierre Avia,"48.82968,2.27534",29,5558.0,7866
Bobillot - Paulin Mery,"48.82990,2.35434",23,9777.0,7866
Plantes - Moulin Vert,"48.83006,2.32323",45,10622.0,7866
Auguste Blanqui - Corvisart,"48.83010,2.35027",26,6727.0,7866
Sèvres - Général Leclerc,"48.83012,2.23143",30,6558.0,7866
Dantzig - Lefebvre,"48.83014,2.29593",33,6977.0,7866
Tombe Issoire - René Coty,"48.83051,2.33436",36,9020.0,7866
Pierre Larousse - Raymond Losserand,"48.83060,2.31192",30,9282.0,7866
Place Amédée Gordini - Lefebvre,"48.83062,2.29206",38,4662.0,7866
Cimetière communal,"48.83076,2.25202",40,6222.0,7866
Dareau - Broussais,"48.83078,2.33618",24,7970.0,7866
Gergovie - Alésia,"48.83089,2.31888",36,7874.0,7866
Ernest Renan - Parc des Expositions,"48.83090,2.28536",50,7303.0,7866
Guynemer - Séverine ,"48.83092,2.27907",26,5680.0,7866
Primo Levi - Frigos,"48.83095,2.37965",34,7918.0,7866
Croulebarde - Corvisart,"48.83098,2.34816",34,9782.0,7866
Auguste Blanqui - Glacière,"48.83115,2.34382",60,11423.0,7866
Pau Casals - Neuve Tolbiac,"48.83116,2.37744",53,14744.0,7866
Porte de Charenton,"48.83124,2.39891",67,9712.0,7866
Ferrus - Saint-Jacques,"48.83139,2.34086",34,8500.0,7866
Hameau Fleuri - Marché,"48.83145,2.24124",22,4678.0,7866
Place d'Italie - Vincent Auriol,"48.83148,2.35676",40,13186.0,7866
Mouton Duvernet - Général Leclerc,"48.83163,2.32931",39,9424.0,7866
Alésia - Suisses,"48.83168,2.31499",47,11012.0,7866
Fief - République,"48.83171,2.25577",25,5109.0,7866
Place d'Italie - Soeur Rosalie,"48.83191,2.35469",52,11918.0,7866
Terroirs de France - Lheureux,"48.83212,2.38862",55,4954.0,7866
Porte de Versailles,"48.83215,2.28715",24,6851.0,7866
Silly - Louis Blériot,"48.83219,2.23402",23,6646.0,7866
Billancourt - Général Leclerc ,"48.83226,2.23804",22,6492.0,7866
Parc Georges Brassens - Brancion,"48.83228,2.30226",29,8145.0,7866
Dunois - Clisson,"48.83229,2.36745",51,10191.0,7866
Pirogues de Bercy - Libourne,"48.83231,2.38637",49,3794.0,7866
Nationale - Vincent Auriol,"48.83253,2.36235",33,10591.0,7866
Mairie du 14ème,"48.83255,2.32549",32,10709.0,7866
Chevaleret - Louise Weiss,"48.83259,2.37121",35,10391.0,7866
Dôme - République,"48.83268,2.25026",25,5956.0,7866
Halle Freyssinet - Parvis Alan Turing,"48.83285,2.37114",23,4685.0,7866
Franquet - Labrouste,"48.83288,2.30676",37,8331.0,7866
Cardinal Lavigerie,"48.83293,2.40264",46,8133.0,7866
René Coty - Place Denfert-Rochereau,"48.83306,2.33294",36,11289.0,7801
Morillons - Dantzig,"48.83310,2.29938",52,6374.0,7866
Enfants du Paradis - Peupliers,"48.83312,2.25715",40,7313.0,7866
Saint-Jacques - Tombe Issoire,"48.83321,2.33691",24,9054.0,7805
Bara - Henri Farman,"48.83322,2.26776",36,4385.0,7866
Parc Suzanne Lenglen,"48.83325,2.27654",52,12750.0,7866
Place Marcel Sembat,"48.83329,2.24417",56,8530.0,7866
Boyer-Barret - Raymond Losserand,"48.83330,2.31734",23,6790.0,7866
Palais des Sports,"48.83347,2.28587",22,4204.0,7866
Didot - Place de Moro-Giafferi,"48.83370,2.32150",22,7859.0,7866
Henry Farman,"48.83372,2.27139",16,2864.0,7866
François Truffaut - Saint Emilion,"48.83372,2.38660",66,10798.0,7866
Bois de Vincennes,"48.83381,2.41322",60,7075.0,7866
Charenton - Jardiniers,"48.83382,2.39469",31,4814.0,7866
Vincent Auriol - Louise Weiss,"48.83400,2.37039",22,5627.0,7866
Cadix - Hameau,"48.83401,2.28952",37,9112.0,7866
Saint-Amand - Labrouste,"48.83410,2.30877",36,10407.0,7866
Tremblay - Lac des Minimes,"48.83413,2.45475",48,5649.0,7866
Pernety - Raymond Losserand,"48.83425,2.31761",32,8509.0,7866
Quai du Président Roosevelt - Pont Aval,"48.83439,2.26568",30,1266.0,7866
Boulard - Daguerre,"48.83446,2.32934",45,8366.0,7802
Gergovie - Vercingétorix,"48.83453,2.31315",29,6987.0,7866
Olivier de Serres - Leriche,"48.83460,2.29575",25,10084.0,7866
Madagascar - Meuniers,"48.83460,2.39707",33,9323.0,7866
Square Desnouettes,"48.83477,2.28414",22,6564.0,7866
Général Michel Bizot - Claude Decaen,"48.83481,2.40093",38,10007.0,7866
Edouard Vaillant - Paul-Adolphe Souriau,"48.83485,2.24795",28,4822.0,7866
Bruant - Vincent Auriol,"48.83485,2.36683",25,10312.0,7866
Arago - Glacière,"48.83486,2.34458",27,10345.0,7866
Hôtel de Ville de Boulogne Billancourt,"48.83496,2.24168",26,6363.0,7866
Bibliothèque Nationale de France,"48.83503,2.37602",42,9453.0,7866
Maine - Liancourt,"48.83506,2.32373",27,7260.0,7866
Santé - Arago,"48.83508,2.34157",38,7640.0,7866
Le Brun - Gobelins,"48.83509,2.35347",48,11189.0,7866
Gabriel Lamé,"48.83512,2.38553",36,10301.0,7866
Froidevaux - Boulard,"48.83515,2.32944",35,7436.0,7804
Hôpital - Campo-Formio,"48.83541,2.35822",16,7987.0,7866
Porte Dorée,"48.83543,2.40771",36,15487.0,7866
Bois de Vincennes - Polygone,"48.83544,2.43142",51,6632.0,7866
Cordelières - Arago,"48.83548,2.34857",46,11496.0,7866
Place Charles Vallin,"48.83552,2.30260",26,12081.0,7803
Silly - Galliéni,"48.83558,2.23255",25,6726.0,7866
Méchain - Faubourg Saint-Jacques,"48.83587,2.33798",16,6132.0,7866
Abbé Groult - Convention,"48.83597,2.30206",12,3741.0,7866
Bois de Vincennes - Gare,"48.83602,2.47083",50,5676.0,7866
Général De Gaulle - Vivien,"48.83607,2.41892",22,6656.0,7866
Ouest - Château ,"48.83617,2.31939",23,6575.0,7866
Place Robert Guillemard,"48.83619,2.28113",24,5561.0,7866
Place Falguière,"48.83630,2.31045",23,10373.0,7866
Fernand Braudel - Vincent Auriol ,"48.83638,2.37234",36,10645.0,7866
Place Balard,"48.83640,2.27842",22,8964.0,7866
Dominique Pado - Croix Nivert,"48.83649,2.28973",22,7833.0,7866
Charles de Gaulle - Beauté,"48.83650,2.47956",49,3355.0,7866
Duhamel - André Gide,"48.83657,2.31271",20,4866.0,7866
Vaugirard - Place Henri Rollet,"48.83659,2.29306",27,10030.0,7866
Charenton - Wattignies,"48.83668,2.39180",33,12625.0,7866
Vasco de Gama,"48.83672,2.28366",54,10247.0,7866
Château - Place de Catalogne,"48.83681,2.31853",33,6636.0,7866
Schoelcher - Raspail,"48.83682,2.33128",50,6830.0,7795
Dutot - Place Alleray,"48.83683,2.30717",56,8580.0,7866
Lucien Bossoutrot - Général Martial Vallin,"48.83696,2.27411",39,7762.0,7866
Gobelins - Port-Royal,"48.83714,2.35152",41,14158.0,7866
Pyramide - Parc Floral,"48.83744,2.44045",50,8113.0,7866
Daumesnil - Picpus,"48.83747,2.40177",21,10087.0,7866
Pitié-Salpêtrière,"48.83749,2.36521",51,7586.0,7866
Murat - Porte de Saint-Cloud,"48.83751,2.25777",38,10166.0,7866
Cassini - Denfert-Rochereau,"48.83753,2.33604",25,5721.0,7866
Claude Decaen - Cannebière,"48.83761,2.39725",27,7591.0,7866
Port-Royal - Hôpital du Val-de-Grâce,"48.83767,2.34481",18,10080.0,7866
Convention - Vaugirard,"48.83768,2.29559",48,16518.0,7866
Hôpital Européen Georges Pompidou ,"48.83770,2.27537",65,10771.0,7866
Hôpital Pitié Salpêtrière,"48.83770,2.36049",50,11531.0,7866
Sèvres-Gallieni,"48.83781,2.22815",27,3789.0,7866
Le Corbusier - Jean Jaurès,"48.83781,2.24084",46,7935.0,7866
Place Ginette Hamelin,"48.83785,2.38206",51,7647.0,7866
Bargue -  Dutot,"48.83788,2.30888",21,7494.0,7866
Rottembourg - Général Michel Bizot,"48.83788,2.40441",43,8085.0,7866
Maine - Jean Zay  ,"48.83793,2.32254",50,9001.0,7866
Lecourbe - Jean Maridor,"48.83796,2.28774",19,8678.0,7866
Victor Hugo - Galliéni,"48.83802,2.24608",34,5828.0,7866
Hôpital Européen Georges Pompidou,"48.83815,2.27494",0,0.0,2
Duméril - Jeanne d'Arc,"48.83815,2.35711",41,10908.0,7866
Général Martial Valin - Pont du Garigliano,"48.83823,2.27051",16,4988.0,7866
Ancienne Mairie - André Morizet,"48.83831,2.23408",25,4825.0,7866
Port Royal - Hôpital Cochin,"48.83837,2.34072",23,10228.0,7866
Gare de Nogent-le-Perreux,"48.83843,2.49369",32,3052.0,7866
Balard - Montagne de la Fage,"48.83851,2.27829",36,7441.0,7866
Porte de Saint Cloud - Parc des Princes,"48.83866,2.25252",32,6330.0,7866
Vigée-Lebrun - Anselme Payen,"48.83868,2.31104",24,6336.0,7866
Félix Faure - Lourmel,"48.83869,2.28181",58,10653.0,7866
Bois de Vincennes - Porte Jaune,"48.83875,2.46055",35,3141.0,7866
Dugommier,"48.83881,2.38966",55,13627.0,7866
Pasteur - Cotentin,"48.83893,2.31636",33,7827.0,7866
Paul Klee - Place Augusta Holmes,"48.83895,2.37042",43,5264.0,7866
Pascal - Claude Bernard,"48.83906,2.34998",49,14872.0,7866
Geoffroy-Saint-Hilaire - Saint-Marcel,"48.83908,2.35688",17,7982.0,7866
Général De Gaulle - Alouette,"48.83911,2.41757",26,10179.0,7866
Gare Montparnasse - René Mouchotte,"48.83920,2.32088",39,10994.0,7866
Lecourbe - Convention,"48.83923,2.29152",46,12590.0,7866
Edgar Quinet - Raspail,"48.83940,2.32971",46,8988.0,7798
Saint-Marcel - Hôpital,"48.83950,2.36099",21,10214.0,7866
Reuilly - Daumesnil,"48.83954,2.39725",36,7858.0,7866
Place Adolphe Cherioux - Vaugirard,"48.83959,2.30107",63,14019.0,7866
Claude Bernard - Arbalète,"48.83977,2.34751",17,7837.0,7866
Gare de Bercy,"48.83979,2.38261",35,8344.0,7866
Bercy,"48.83997,2.37886",66,9046.0,7866
Picpus - Louis Braille,"48.83999,2.40053",44,10300.0,7866
Jean Jaurès - Reine,"48.84010,2.23987",31,6699.0,7866
Paul Barruel - Vaugirard,"48.84015,2.30443",39,9478.0,7866
Georges Bernanos - Port Royal,"48.84015,2.33736",30,12175.0,7866
Versailles - Claude Terrasse,"48.84022,2.26383",46,8747.0,7866
Place du Moulin de Javel,"48.84022,2.27161",45,6921.0,7866
Reuilly - Place Felix Eboue,"48.84030,2.39463",42,10963.0,7866
Arsonval - Falguière,"48.84040,2.31312",25,7173.0,7866
Vaugirard - Pasteur,"48.84041,2.31544",21,8227.0,7866
Charles Lecocq - Lecourbe,"48.84044,2.29487",30,8658.0,7866
Rond-Point Rhin et Danube,"48.84045,2.22802",53,6399.0,7866
Michel-Ange - Parent de Rosan,"48.84058,2.25841",26,4534.0,7866
Parc André Citroën,"48.84064,2.27806",65,7398.0,7866
Censier - Santeuil,"48.84066,2.35375",69,12241.0,7866
Square Georges Melies,"48.84070,2.40967",40,10985.0,7866
Mairie du 12ème,"48.84086,2.38755",30,9744.0,7866
Sahel - Général Michel Bizot,"48.84087,2.40444",33,9645.0,7866
Exelmans - Versailles,"48.84097,2.26439",49,8973.0,7866
Censier - Jardin des Plantes,"48.84107,2.35548",28,10788.0,7866
Edgar Quinet - Gaité,"48.84116,2.32460",27,9942.0,7866
Félix Faure - Convention,"48.84125,2.28839",44,12921.0,7866
Volontaires - Vaugirard,"48.84132,2.30809",34,10312.0,7866
Gare Montparnasse - Edgar Quinet,"48.84149,2.32332",33,11206.0,7866
Vignerons - Minimes,"48.84149,2.43079",29,6857.0,7866
Epée de Bois - Mouffetard,"48.84151,2.35007",63,9379.0,7866
Marcelin Berthelot,"48.84155,2.23316",27,5279.0,7866
