station_name,station_geo,capacity,total_activity,count,nearest_station,dateOuverture
Louis Pasteur - Albert Petit,"48.79626,2.31729",31,3301.0,7866,"{'code': 22206, 'codeStr': 22206, 'name': 'Louis Pasteur - Albert Petit', 'dateOuverture': '2018-04-10', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 30, 'nbEDock': 0, 'latitude': '48.79626100000000', 'longitude': '2.31728900000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79626100000000,2.31728900000000'}",2018-04-10
Jules Guesde - Pont du Port à l'Anglais,"48.79629,2.41721",30,3362.0,7866,,
Maxime Gorki - Paul Vaillant-Couturier,"48.79674,2.36833",20,6111.0,7866,"{'code': 48006, 'codeStr': 48006, 'name': 'Maxime Gorki - Paul Vaillant-Couturier', 'dateOuverture': '2019-02-05', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 17, 'nbEDock': 0, 'latitude': '48.79649800000000', 'longitude': '2.36845200000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79649800000000,2.36845200000000'}",2019-02-05
Henri Ravera - Gabriel Péri,"48.79722,2.30212",30,3614.0,7866,"{'code': 22201, 'codeStr': 22201, 'name': 'Henri Ravera - Gabriel Péri', 'dateOuverture': '2019-03-20', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 23, 'nbEDock': 0, 'latitude': '48.79632200000000', 'longitude': '2.30078900000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79632200000000,2.30078900000000'}",2019-03-20
Concorde - Stalingrad,"48.79858,2.38213",35,9617.0,7866,"{'code': 44006, 'codeStr': 44006, 'name': 'Concorde-Stalingrad', 'dateOuverture': '2018-11-28', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 6, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 27, 'nbEDock': 0, 'latitude': '48.79858440000000', 'longitude': '2.38213020000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79858440000000,2.38213020000000'}",2018-11-28
Gare Arcueil - Cachan,"48.79982,2.32817",26,4508.0,7866,"{'code': 42301, 'codeStr': 42301, 'name': 'Gare Arcueil-Cachan', 'dateOuverture': '2018-09-27', 'state': 'Operative', 'nbBike': 4, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 22, 'nbEDock': 0, 'latitude': '48.79982400000000', 'longitude': '2.32817100000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.79982400000000,2.32817100000000'}",2018-09-27
Mairie de Clamart,"48.80061,2.26215",33,3391.0,7866,"{'code': 21401, 'codeStr': 21401, 'name': 'Mairie de Clamart', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 27, 'nbEDock': 0, 'latitude': '48.80061200000000', 'longitude': '2.26215100000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.80061200000000,2.26215100000000'}",2019-03-28
Paul Vaillant-Couturier - Gare RER,"48.80108,2.40210",26,7856.0,7866,"{'code': 44002, 'codeStr': 44002, 'name': 'Paul Vaillant-Couturier - Gare RER', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 15, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 10, 'nbEDock': 0, 'latitude': '48.80082980000000', 'longitude': '2.40178409000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.80082980000000,2.40178409000000'}",2019-03-28
Place de la Gare,"48.80253,2.42750",46,5511.0,7866,"{'code': 23801, 'codeStr': 23801, 'name': 'Place de la Gare', 'dateOuverture': '2024-05-27', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 3, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 16, 'nbEDock': 0, 'latitude': '48.83851358218400', 'longitude': '2.18661390075120', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.83851358218400,2.18661390075120'}",2024-05-27
Stalingrad - Germaine Tailleferre,"48.80257,2.37867",28,8142.0,7866,"{'code': 42029, 'codeStr': 42029, 'name': 'Stalingrad - Germaine Tailleferre', 'dateOuverture': '2019-10-10', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 27, 'nbEDock': 0, 'latitude': '48.89571300000000', 'longitude': '2.22386000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.89571300000000,2.22386000000000'}",2019-10-10
Gare RER - Malleret-Joinville,"48.80294,2.42531",20,4195.0,7866,"{'code': 41403, 'codeStr': 41403, 'name': 'Gare RER - Mailleret-Joinville', 'dateOuverture': '2018-07-16', 'state': 'Operative', 'nbBike': 14, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 2, 'nbEDock': 0, 'latitude': '48.80293600000000', 'longitude': '2.42531000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.80293600000000,2.42531000000000'}",2018-07-16
